31,118,
32,130,350
32,8,
32,130,250
32,36,300
32,2,0.25
32,131,2
32,130,250
32,75,150
32,2,0.25
32,8,
33,112,1
33,18,5
33,41,5
33,17,10
33,25,15
33,29,5
33,24,10
34,132,3
34,133,1
34,134,1
34,23,1
34,36,5
34,8,
35,135,2
35,136,2
35,110,1
35,137,2
35,138,1
36,139,3
36,35,4
36,140,4
36,141,
36,14,1
36,142,1
36,8,
37,143,0.5
37,67,1
37,21,1
37,28,1
37,11,30
37,8,30
37,18,5
37,41,20
37,29,5
37,25,5
37,17,5
37,30,1
37,123,2
38,144,80
38,57,2
38,145,200
38,74,2
38,28,3
38,2,0.25
38,146,2
38,18,
38,30,
38,48,0.5
38,47,
39,147,120
39,12,20
39,21,1
39,28,1
39,11,30
39,8,30
39,41,50
39,29,5
39,25,5
39,17,5
39,30,1
39,123,2
40,148,2
40,75,200
40,74,100
41,76,1
41,149,0.6
41,6,1
41,2,0.25
41,61,2
41,25,1
41,26,
41,15,1
41,24,1
41,54,0.5
41,10,0.5
41,17,0.25
42,52,1.5
42,6,1
42,150,1
42,151,3
42,152,1
42,73,0.5
42,153,1
42,105,10
42,14,2
42,18,
42,30,
42,26,
42,25,
42,8,
42,154,2
42,26,
42,18,0.25
42,25,
42,18,0.25
42,25,
43,155,1
43,156,1
43,6,1
43,133,0.5
43,157,
44,158,150
44,133,60
44,11,30
44,21,0.5
44,28,1
44,41,5
44,25,5
45,61,1
45,36,1
45,159,1
45,18,0.3
45,6,1
45,18,0.25
45,25,1
45,26,0.5
45,44,0.5
45,8,
45,160,
46,161,1
46,156,0.6
46,162,1
46,21,0.5
46,163,1
46,164,2.5
46,25,1
46,165,1
46,23,0.5
46,24,0.5
46,18,
46,30,
47,166,1
47,166,1
48,167,1
48,14,1
48,168,1
48,132,1
49,158,100
49,11,20
49,67,1
49,21,1
49,28,1
49,41,10
49,29,5
49,30,1
49,25,10
49,165,10
50,6,1
50,105,2
50,44,1
50,4,2
50,67,3
50,2,0.5
50,73,0.5
50,75,150
50,169,1
50,35,1
50,30,
51,14,2
51,21,0.25
51,170,3
51,6,1
51,171,2
51,18,
51,172,2
51,16,1
51,17,0.5
51,64,0.5
51,36,0.5
52,173,1
52,18,
52,30,
52,10,1
52,37,
52,154,3
52,17,1
52,174,1
52,30,
53,175,3
53,73,0.25
53,2,0.25
53,21,1
53,176,1
54,177,1
54,178,
54,46,
54,179,1
54,180,2
55,181,1
55,6,1
55,182,1
55,35,1
56,71,4
56,6,1
56,73,0.25
56,2,0.25
56,113,2
56,126,1
56,54,1
56,18,
56,30,
56,8,
57,183,2
57,18,
57,184,1
57,47,8
57,2,0.25
57,46,5
57,185,6
58,147,100
58,18,5
58,24,10
58,17,10
58,16,5
58,21,1
58,28,1
58,29,5
58,42,5
59,186,2
59,187,20
59,93,1
59,188,3
59,189,
59,190,2
59,118,2
59,191,1
59,17,1
59,18,
59,30,
60,192,200
60,23,1
60,54,2
60,17,1
60,62,1
60,193,100
60,18,0.3
60,25,1
60,30,
60,194,1
60,16,1
60,8,
60,61,1
60,16,2
60,24,1
60,17,1
60,25,1
61,77,1
61,70,100
61,2,0.125
61,113,3
61,28,6
61,84,2
61,36,100
61,30,0.25
61,171,3
61,47,0.5
61,18,0.5
62,195,1
62,6,1
62,2,0.25
62,14,2
62,113,2
62,8,
62,36,0.5
62,41,2
