ingre_id,﻿ingre_name,ingre_unit,ingre_main,ingre_img
104,꿀,숟가락,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2644_000_1%2F20161004212422429_861O58HBI.jpg%2F0ccf4265-63d7-41.jpg%3Ftype%3Dw450_fst_nce%22&twidth=226&theight=226&opts=17
105,시금치,줌,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2543_000_1%2F20130718160430680_1CGOKGKYJ.jpg%2F3208_1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
106,굴,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F0700_000_1%2F20110809154652560_DQA9NXB5P.jpg%2F315_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
107,통마늘,개,0,
108,롤케이크,개,0,
109,누텔라,적당량,0,
110,초콜릿,적당량,0,
111,초코송이,적당량,0,
112,북어포,마리,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008181210745_MWDR19S1C.jpg%2F653_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
113,쪽파,줄기,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008180110131_A1866UYSH.jpg%2F333_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
114,새우젓,g,0,
115,맛살,g,0,
116,체다치즈,장,0,
117,스파게티,인분,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F0700_000_1%2F20110809154640730_XPOP7QTBQ.jpg%2F223_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
118,올리브오일,약간,1,
119,토마토소스,종이컵,0,
120,다진돼지고기,종이컵,0,
121,고추,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F5741_000_1%2F20191122140603877_12HDB1IUZ.jpg%2Ffe125_3041_i1.jpg%3Ftype%3Dw450_fst%22&twidth=226&theight=226&opts=10
122,마른북어포,마리,0,
123,실고추,줄기,0,
124,간장마요면,개,0,
125,간장닭강정,개,0,
126,모짜렐라치즈,종이컵,0,
127,김가루,숟가락,0,
128,옥수수콘,숟가락,0,
129,피자치즈,종이컵,0,
130,떡,g,0,
131,사각어묵,장,0,
132,소세지,개,0,
133,콩나물,줌,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2644_000_2%2F20190719092436755_SIUFFG4JA.jpg%2Ff0db360c-8c11-47.jpg%3Ftype%3Dw450_fst_nce%22&twidth=226&theight=226&opts=10
134,우동,개,0,
135,크래커,개,0,
136,말랑카우,개,0,
137,초코다이제,개,0,
138,마시멜로우,개,0,
139,식빵,장,0,
140,스팸,캔,0,
141,딸기잼,적당량,0,
142,빵가루,종이컵,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008181941959_DBTLGCXRH.jpg%2F873_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
143,오이,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F0700_000_1%2F20110809154648999_R9SHJYTXO.jpg%2F293_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
144,링귀니면,g,0,
145,모시조개,g,0,
146,화이트와인,숟가락,1,
147,무,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F1290_000_1%2F20120706185013538_YIGWK1IHZ.jpg%2Fff2_21_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
148,뽕잎크림스프레드,숟가락,1,
149,곱창,종이컵,0,
150,참치,캔,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2984_000_1%2F20140407160201876_SZOEESC3W.jpg%2Fi-182_2-1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
151,묵은지,줄,0,
152,우엉,줄,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F1262_000_1%2F20120702144128360_7H6GU5GNZ.jpg%2Fib6_37_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
153,단무지,줄,0,
154,마요네즈,숟가락,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2177_000_1%2F20160621161050498_DRQY3A9XG.jpg%2Faa8_21_i1.jpg%3Ftype%3Dw450_fst%22&twidth=226&theight=226&opts=17
155,어묵탕,개,0,
156,김치,봉,0,
157,조미김가루,약간,1,
158,쌀,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F1290_000_1%2F20120706184843144_3DIC2UJMY.jpg%2Fff2_13_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
